reference,date,gl_code,account_name,trans_amt,text
JE17-0020,02/10/2026,3000,Share Capital,(67645.81),Capital contribution
JE17-0021,26/11/2026,2000,Accounts Payable,1165.88,Supplier payment
JE17-0021,26/11/2026,1010,Bank Current Account,(1165.88),Supplier payment
JE17-0022,17/09/2026,5600,Depreciation Expense,74508.55,Depreciation charge
JE17-0022,17/09/2026,2000,Accounts Payable,(74508.55),Depreciation charge
JE17-0023,01/11/2026,1000,Cash,34271.34,Customer receipt
JE17-0023,01/11/2026,1100,Accounts Receivable,(34271.34),Customer receipt
JE17-0024,22/06/2026,2000,Accounts Payable,74101.97,Supplier payment
JE17-0024,22/06/2026,1010,Bank Current Account,(74101.97),Supplier payment
JE17-0025,23/12/2026,1010,Bank Current Account,49257.90,Capital contribution
JE17-0025,23/12/2026,3000,Share Capital,(49257.90),Capital contribution
JE17-0026,19/09/2026,5000,Cost of Goods Sold,27134.24,Operating expense
JE17-0026,19/09/2026,2000,Accounts Payable,(27134.24),Operating expense
JE17-0027,15/04/2026,1010,Bank Current Account,57663.57,Loan drawdown
JE17-0027,15/04/2026,3000,Share Capital,(57663.57),Loan drawdown
JE17-0028,04/09/2026,1000,Cash,16752.05,Capital contribution
JE17-0028,04/09/2026,3000,Share Capital,(16752.05),Capital contribution
JE17-0029,09/09/2026,5600,Depreciation Expense,89974.42,Depreciation charge
JE17-0029,09/09/2026,1010,Bank Current Account,(89974.42),Depreciation charge
JE17-0030,25/04/2026,5600,Depreciation Expense,53566.54,Depreciation charge
JE17-0030,25/04/2026,4000,Sales Revenue,(53566.54),Depreciation charge
JE17-0031,16/01/2026,1010,Bank Current Account,85185.28,Loan drawdown
JE17-0031,16/01/2026,5500,Marketing Expense,(85185.28),Loan drawdown
JE17-0032,22/04/2026,5200,Rent Expense,36446.56,Operating expense
JE17-0032,22/04/2026,1000,Cash,(36446.56),Operating expense
JE17-0033,18/09/2026,1010,Bank Current Account,90774.02,Customer receipt
JE17-0033,18/09/2026,1100,Accounts Receivable,(90774.02),Customer receipt
JE17-0034,13/02/2026,1100,Accounts Receivable,23697.23,Sales invoice
JE17-0034,13/02/2026,4200,Other Income,(23697.23),Sales invoice
JE17-0035,19/04/2026,1000,Cash,29920.83,Loan drawdown
JE17-0035,19/04/2026,1010,Bank Current Account,(29920.83),Loan drawdown
JE17-0036,16/04/2026,1510,Equipment,64942.73,Asset purchase
JE17-0036,16/04/2026,2000,Accounts Payable,(64942.73),Asset purchase
JE17-0037,08/04/2026,1000,Cash,82929.63,Customer receipt
JE17-0037,08/04/2026,1100,Accounts Receivable,(82929.63),Customer receipt
JE17-0038,04/02/2026,1000,Cash,14946.18,Customer receipt
JE17-0038,04/02/2026,1100,Accounts Receivable,(14946.18),Customer receipt
