doc_no,effective_date,ledger_account,gl_name,value,text
JE02-0023,13-Apr-2026,1000,Cash,-2394.57,Asset purchase
JE02-0024,12-May-2026,1010,Bank Current Account,91859.43,Loan drawdown
JE02-0024,12-May-2026,2200,Loans Payable,-91859.43,Loan drawdown
JE02-0025,,2200,Loans Payable,11090.17,Depreciation charge
JE02-0025,06-May-2026,5200,Rent Expense,-11090.17,Depreciation charge
JE02-0026,24-Jun-2026,1200,Inventory,56734.78,Asset purchase
JE02-0026,24-Jun-2026,1000,Cash,-56734.78,Asset purchase
JE02-0027,07-Oct-2026,1010,Bank Current Account,36685.79,Loan drawdown
JE02-0027,07-Oct-2026,2200,Loans Payable,-36685.79,Loan drawdown
JE02-0028,26-Sep-2026,1200,Inventory,41510.06,Asset purchase
JE02-0028,26-Sep-2026,2000,Accounts Payable,-41510.06,Asset purchase
JE02-0029,11-Nov-2026,5200,Rent Expense,41058.56,Depreciation charge
JE02-0029,11-Nov-2026,5400,Office Expenses,-41058.56,Depreciation charge
JE02-0030,14-Nov-2026,1000,Cash,48250.57,Loan drawdown
JE02-0030,14-Nov-2026,2200,Loans Payable,-48250.57,Loan drawdown
JE02-0031,14-Apr-2026,1010,Bank Current Account,52736.02,Loan drawdown
JE02-0031,,2200,Loans Payable,-52736.02,Loan drawdown
JE02-0032,10-Jan-2026,1000,Cash,38666.23,Capital contribution
JE02-0032,10-Jan-2026,3000,Share Capital,-38666.23,Capital contribution
JE02-0033,21-Oct-2026,1200,Inventory,74679.22,Asset purchase
JE02-0033,21-Oct-2026,1010,Bank Current Account,-74679.22,Asset purchase
JE02-0034,17-Apr-2026,1010,Bank Current Account,42088.86,Loan drawdown
JE02-0034,17-Apr-2026,2200,Loans Payable,-42088.86,Loan drawdown
JE02-0035,21-Nov-2026,5100,Salaries Expense,27067.14,Payroll run
JE02-0035,21-Nov-2026,1000,Cash,-27067.14,Payroll run
JE02-0036,26-Apr-2026,1000,Cash,63964.67,Loan drawdown
JE02-0036,26-Apr-2026,2200,Loans Payable,-63964.67,Loan drawdown
JE02-0037,20-Aug-2026,1000,Cash,4533.37,Customer receipt
JE02-0037,20-Aug-2026,1100,Accounts Receivable,-4533.37,Customer receipt
JE02-0038,07-Oct-2026,5200,Rent Expense,84200.09,
JE02-0038,07-Oct-2026,1010,Bank Current Account,-84200.09,Operating expense
JE02-0039,23-Nov-2026,1010,Bank Current Account,23291.92,Capital contribution
JE02-0039,23-Nov-2026,3000,Share Capital,-23291.92,Capital contribution
JE02-0040,17-Dec-2026,1000,Cash,20907.08,Sales invoice
JE02-0040,17-Dec-2026,4000,Sales Revenue,-20907.08,Sales invoice
JE02-0041,15-Feb-2026,5100,Salaries Expense,87172.03,Payroll run
JE02-0041,15-Feb-2026,1000,Cash,-87172.03,Payroll run
JE02-0042,20-Aug-2026,2000,Accounts Payable,90261.26,Supplier payment
JE02-0042,20-Aug-2026,1010,Bank Current Account,-90261.26,Supplier payment
JE02-0043,15-Aug-2026,2200,Loans Payable,70685.72,Depreciation charge
JE02-0043,15-Aug-2026,4000,Sales Revenue,-70685.72,Depreciation charge
JE02-0044,16-Sep-2026,1200,Inventory,26452.98,Asset purchase
JE02-0044,16-Sep-2026,2000,Accounts Payable,-26452.98,Asset purchase
JE02-0045,08-May-2026,1010,Bank Current Account,7499.30,Customer receipt
JE02-0045,08-May-2026,1100,Accounts Receivable,-7499.30,
JE02-0046,05-Feb-2026,1200,Inventory,84853.60,Asset purchase
JE02-0046,05-Feb-2026,1010,Bank Current Account,-84853.60,Asset purchase
JE02-0047,07-Dec-2026,2000,Accounts Payable,65971.14,Supplier payment
JE02-0047,07-Dec-2026,1010,Bank Current Account,-65971.14,Supplier payment
JE02-0048,14-Aug-2026,5200,Rent Expense,31534.10,Operating expense
JE02-0048,14-Aug-2026,1010,Bank Current Account,-31534.10,Operating expense
JE02-0027,07-Oct-2026,1010,Bank Current Account,36685.79,Loan drawdown
JE02-0027,07-Oct-2026,2200,,-36685.79,Loan drawdown
